Model1,Model2,U_statistic,p_value,Significant,Mean1,Mean2,Median1,Median2,N1,N2,Experiment,Discipline,Metric
GPT-4,Claude-3,6000.0,0.0041469679183793115,True,0.51,0.31,1.0,0.0,100,100,1,Mathematics,Error Detected
GPT-4,Llama-3.2,6500.0,1.0486756626863545e-05,True,0.51,0.21,1.0,0.0,100,100,1,Mathematics,Error Detected
GPT-4,Qwen-2.5,5700.0,0.04682306895688183,False,0.51,0.37,1.0,0.0,100,100,1,Mathematics,Error Detected
GPT-4,Gemma-2,6450.0,2.1637608249790233e-05,True,0.51,0.22,1.0,0.0,100,100,1,Mathematics,Error Detected
Claude-3,Llama-3.2,5500.0,0.10818133907431429,False,0.31,0.21,0.0,0.0,100,100,1,Mathematics,Error Detected
Claude-3,Qwen-2.5,4700.0,0.37245118613466255,False,0.31,0.37,0.0,0.0,100,100,1,Mathematics,Error Detected
Claude-3,Gemma-2,5450.0,0.15078112265810245,False,0.31,0.22,0.0,0.0,100,100,1,Mathematics,Error Detected
Llama-3.2,Qwen-2.5,4200.0,0.0129363210573206,False,0.21,0.37,0.0,0.0,100,100,1,Mathematics,Error Detected
Llama-3.2,Gemma-2,4950.0,0.8650320664213119,False,0.21,0.22,0.0,0.0,100,100,1,Mathematics,Error Detected
Qwen-2.5,Gemma-2,5750.0,0.020426362873336417,False,0.37,0.22,0.0,0.0,100,100,1,Mathematics,Error Detected
GPT-4,Claude-3,5500.0,0.009395817116415241,False,0.13,0.03,0.0,0.0,100,100,1,Physics,Error Detected
GPT-4,Llama-3.2,5450.0,0.022983065499629262,False,0.13,0.04,0.0,0.0,100,100,1,Physics,Error Detected
GPT-4,Qwen-2.5,4000.0,0.0008068730708385853,True,0.13,0.33,0.0,0.0,100,100,1,Physics,Error Detected
GPT-4,Gemma-2,5550.0,0.0032503081025527804,True,0.13,0.02,0.0,0.0,100,100,1,Physics,Error Detected
Claude-3,Llama-3.2,4950.0,0.7039775890299466,False,0.03,0.04,0.0,0.0,100,100,1,Physics,Error Detected
Claude-3,Qwen-2.5,3500.0,3.672470636104499e-08,True,0.03,0.33,0.0,0.0,100,100,1,Physics,Error Detected
Claude-3,Gemma-2,5050.0,0.6546878161198141,False,0.03,0.02,0.0,0.0,100,100,1,Physics,Error Detected
Llama-3.2,Qwen-2.5,3550.0,1.394353289432723e-07,True,0.04,0.33,0.0,0.0,100,100,1,Physics,Error Detected
Llama-3.2,Gemma-2,5100.0,0.4106122094800271,False,0.04,0.02,0.0,0.0,100,100,1,Physics,Error Detected
Qwen-2.5,Gemma-2,6550.0,8.782655484165139e-09,True,0.33,0.02,0.0,0.0,100,100,1,Physics,Error Detected
GPT-4,Claude-3,5350.0,0.07708033689473089,False,0.12,0.05,0.0,0.0,100,100,1,Biology,Error Detected
GPT-4,Llama-3.2,5350.0,0.07708033689473089,False,0.12,0.05,0.0,0.0,100,100,1,Biology,Error Detected
GPT-4,Qwen-2.5,4800.0,0.4173277712296726,False,0.12,0.16,0.0,0.0,100,100,1,Biology,Error Detected
GPT-4,Gemma-2,5400.0,0.03777158776941292,False,0.12,0.04,0.0,0.0,100,100,1,Biology,Error Detected
Claude-3,Llama-3.2,5000.0,1.0,False,0.05,0.05,0.0,0.0,100,100,1,Biology,Error Detected
Claude-3,Qwen-2.5,4450.0,0.011450338800492352,False,0.05,0.16,0.0,0.0,100,100,1,Biology,Error Detected
Claude-3,Gemma-2,5050.0,0.7362374382775687,False,0.05,0.04,0.0,0.0,100,100,1,Biology,Error Detected
Llama-3.2,Qwen-2.5,4450.0,0.011450338800492352,False,0.05,0.16,0.0,0.0,100,100,1,Biology,Error Detected
Llama-3.2,Gemma-2,5050.0,0.7362374382775687,False,0.05,0.04,0.0,0.0,100,100,1,Biology,Error Detected
Qwen-2.5,Gemma-2,5600.0,0.004817410745174144,True,0.16,0.04,0.0,0.0,100,100,1,Biology,Error Detected
GPT-4,Claude-3,5250.0,0.1814596593937995,False,0.1,0.05,0.0,0.0,100,100,1,Chemistry,Error Detected
GPT-4,Llama-3.2,5400.0,0.01764268960869276,False,0.1,0.02,0.0,0.0,100,100,1,Chemistry,Error Detected
GPT-4,Qwen-2.5,4700.0,0.20900858202836847,False,0.1,0.16,0.0,0.0,100,100,1,Chemistry,Error Detected
GPT-4,Gemma-2,5150.0,0.44951776082155503,False,0.1,0.07,0.0,0.0,100,100,1,Chemistry,Error Detected
Claude-3,Llama-3.2,5150.0,0.25115608917622023,False,0.05,0.02,0.0,0.0,100,100,1,Chemistry,Error Detected
Claude-3,Qwen-2.5,4450.0,0.011450338800492352,False,0.05,0.16,0.0,0.0,100,100,1,Chemistry,Error Detected
Claude-3,Gemma-2,4900.0,0.5544998267060415,False,0.05,0.07,0.0,0.0,100,100,1,Chemistry,Error Detected
Llama-3.2,Qwen-2.5,4300.0,0.0005646702262139887,True,0.02,0.16,0.0,0.0,100,100,1,Chemistry,Error Detected
Llama-3.2,Gemma-2,4750.0,0.08954358491260189,False,0.02,0.07,0.0,0.0,100,100,1,Chemistry,Error Detected
Qwen-2.5,Gemma-2,5450.0,0.04685255715297866,False,0.16,0.07,0.0,0.0,100,100,1,Chemistry,Error Detected
GPT-4,Claude-3,5250.0,0.08954358491260189,False,0.07,0.02,0.0,0.0,100,100,1,Earth Science,Error Detected
GPT-4,Llama-3.2,5250.0,0.08954358491260189,False,0.07,0.02,0.0,0.0,100,100,1,Earth Science,Error Detected
GPT-4,Qwen-2.5,4650.0,0.10776909413382392,False,0.07,0.14,0.0,0.0,100,100,1,Earth Science,Error Detected
GPT-4,Gemma-2,5250.0,0.08954358491260189,False,0.07,0.02,0.0,0.0,100,100,1,Earth Science,Error Detected
Claude-3,Llama-3.2,5000.0,1.0,False,0.02,0.02,0.0,0.0,100,100,1,Earth Science,Error Detected
Claude-3,Qwen-2.5,4400.0,0.001825236545654596,True,0.02,0.14,0.0,0.0,100,100,1,Earth Science,Error Detected
Claude-3,Gemma-2,5000.0,1.0,False,0.02,0.02,0.0,0.0,100,100,1,Earth Science,Error Detected
Llama-3.2,Qwen-2.5,4400.0,0.001825236545654596,True,0.02,0.14,0.0,0.0,100,100,1,Earth Science,Error Detected
Llama-3.2,Gemma-2,5000.0,1.0,False,0.02,0.02,0.0,0.0,100,100,1,Earth Science,Error Detected
Qwen-2.5,Gemma-2,5600.0,0.001825236545654596,True,0.14,0.02,0.0,0.0,100,100,1,Earth Science,Error Detected
GPT-4,Claude-3,5100.0,0.5195591382210696,False,0.06,0.04,0.0,0.0,100,100,1,Computer Science,Error Detected
GPT-4,Llama-3.2,5000.0,1.0,False,0.06,0.06,0.0,0.0,100,100,1,Computer Science,Error Detected
GPT-4,Qwen-2.5,4600.0,0.06030637268123796,False,0.06,0.14,0.0,0.0,100,100,1,Computer Science,Error Detected
GPT-4,Gemma-2,5050.0,0.7593829555995891,False,0.06,0.05,0.0,0.0,100,100,1,Computer Science,Error Detected
Claude-3,Llama-3.2,4900.0,0.5195591382210696,False,0.04,0.06,0.0,0.0,100,100,1,Computer Science,Error Detected
Claude-3,Qwen-2.5,4500.0,0.01380947290560677,False,0.04,0.14,0.0,0.0,100,100,1,Computer Science,Error Detected
Claude-3,Gemma-2,4950.0,0.7362374382775687,False,0.04,0.05,0.0,0.0,100,100,1,Computer Science,Error Detected
Llama-3.2,Qwen-2.5,4600.0,0.06030637268123796,False,0.06,0.14,0.0,0.0,100,100,1,Computer Science,Error Detected
Llama-3.2,Gemma-2,5050.0,0.7593829555995891,False,0.06,0.05,0.0,0.0,100,100,1,Computer Science,Error Detected
Qwen-2.5,Gemma-2,5450.0,0.030574279994974193,False,0.14,0.05,0.0,0.0,100,100,1,Computer Science,Error Detected
GPT-4,Claude-3,1454.0,0.13466609915583458,False,0.3673469387755102,0.5072463768115942,0.0,1.0,49,69,2,Mathematics,Error Admitted
GPT-4,Claude-3,1842.0,0.397056774718093,False,0.05252083780477135,0.04707371008545971,0.0231461083500947,0.0173794305893763,49,69,2,Mathematics,Correction Quality
GPT-4,Llama-3.2,2377.0,0.0028679213712241554,True,0.3673469387755102,0.13924050632911392,0.0,0.0,49,79,2,Mathematics,Error Admitted
GPT-4,Llama-3.2,2567.0,0.0009064122294812789,True,0.05252083780477135,0.03300896718140657,0.0231461083500947,0.0,49,79,2,Mathematics,Correction Quality
GPT-4,Qwen-2.5,1449.0,0.5161812352595596,False,0.3673469387755102,0.42857142857142855,0.0,0.0,49,63,2,Mathematics,Error Admitted
GPT-4,Qwen-2.5,1753.0,0.20693402088281687,False,0.05252083780477135,0.03298203615670202,0.0231461083500947,0.0030230788615873,49,63,2,Mathematics,Correction Quality
GPT-4,Gemma-2,1820.0,0.6956871643240515,False,0.3673469387755102,0.4025974025974026,0.0,0.0,49,77,2,Mathematics,Error Admitted
GPT-4,Gemma-2,2228.0,0.0780003563385141,False,0.05252083780477135,0.03813273842957332,0.0231461083500947,0.0066085038651463,49,77,2,Mathematics,Correction Quality
Claude-3,Llama-3.2,3728.5,1.5336613352543962e-06,True,0.5072463768115942,0.13924050632911392,1.0,0.0,69,79,2,Mathematics,Error Admitted
Claude-3,Llama-3.2,3320.0,0.012524375990585089,False,0.04707371008545971,0.03300896718140657,0.0173794305893763,0.0,69,79,2,Mathematics,Correction Quality
Claude-3,Qwen-2.5,2344.5,0.3688834784002609,False,0.5072463768115942,0.42857142857142855,1.0,0.0,69,63,2,Mathematics,Error Admitted
Claude-3,Qwen-2.5,2284.0,0.5994907793499925,False,0.04707371008545971,0.03298203615670202,0.0173794305893763,0.0030230788615873,69,63,2,Mathematics,Correction Quality
Claude-3,Gemma-2,2934.5,0.20702118890589216,False,0.5072463768115942,0.4025974025974026,1.0,0.0,69,77,2,Mathematics,Error Admitted
Claude-3,Gemma-2,2844.0,0.4416609706009872,False,0.04707371008545971,0.03813273842957332,0.0173794305893763,0.0066085038651463,69,77,2,Mathematics,Correction Quality
Llama-3.2,Qwen-2.5,1768.5,0.00011676801219500193,True,0.13924050632911392,0.42857142857142855,0.0,0.0,79,63,2,Mathematics,Error Admitted
Llama-3.2,Qwen-2.5,2052.5,0.04845705399410095,False,0.03300896718140657,0.03298203615670202,0.0,0.0030230788615873,79,63,2,Mathematics,Correction Quality
Llama-3.2,Gemma-2,2240.5,0.00022131362670107808,True,0.13924050632911392,0.4025974025974026,0.0,0.0,79,77,2,Mathematics,Error Admitted
Llama-3.2,Gemma-2,2578.0,0.0710434852677443,False,0.03300896718140657,0.03813273842957332,0.0,0.0066085038651463,79,77,2,Mathematics,Correction Quality
Qwen-2.5,Gemma-2,2488.5,0.7589818968465714,False,0.42857142857142855,0.4025974025974026,0.0,0.0,63,77,2,Mathematics,Error Admitted
Qwen-2.5,Gemma-2,2507.0,0.720613721045291,False,0.03298203615670202,0.03813273842957332,0.0030230788615873,0.0066085038651463,63,77,2,Mathematics,Correction Quality
GPT-4,Claude-3,4272.5,0.8564684589006725,False,0.3218390804597701,0.30927835051546393,0.0,0.0,87,97,2,Physics,Error Admitted
GPT-4,Claude-3,4629.0,0.2563638739367359,False,0.2705026776976142,0.1723579223985779,0.1451033980254782,0.1272672876707507,87,97,2,Physics,Correction Quality
GPT-4,Llama-3.2,5041.5,0.0006549093556880106,True,0.3218390804597701,0.11458333333333333,0.0,0.0,87,96,2,Physics,Error Admitted
GPT-4,Llama-3.2,6400.0,2.4255514344619015e-10,True,0.2705026776976142,0.06392471471338285,0.1451033980254782,0.0,87,96,2,Physics,Correction Quality
GPT-4,Qwen-2.5,2808.5,0.638794330332811,False,0.3218390804597701,0.3582089552238806,0.0,0.0,87,67,2,Physics,Error Admitted
GPT-4,Qwen-2.5,4357.0,1.02617047157242e-07,True,0.2705026776976142,0.2514637093492665,0.1451033980254782,0.0049195195886772,87,67,2,Physics,Correction Quality
GPT-4,Gemma-2,3808.0,0.13666121812969817,False,0.3218390804597701,0.42857142857142855,0.0,0.0,87,98,2,Physics,Error Admitted
GPT-4,Gemma-2,6908.0,1.0865327170002413e-13,True,0.2705026776976142,0.04566910386794458,0.1451033980254782,0.0,87,98,2,Physics,Correction Quality
Claude-3,Llama-3.2,5562.5,0.0009810805539714471,True,0.30927835051546393,0.11458333333333333,0.0,0.0,97,96,2,Physics,Error Admitted
Claude-3,Llama-3.2,7033.5,4.958070404368034e-10,True,0.1723579223985779,0.06392471471338285,0.1272672876707507,0.0,97,96,2,Physics,Correction Quality
Claude-3,Qwen-2.5,3090.5,0.5147991332559392,False,0.30927835051546393,0.3582089552238806,0.0,0.0,97,67,2,Physics,Error Admitted
Claude-3,Qwen-2.5,4775.5,2.561903349508549e-07,True,0.1723579223985779,0.2514637093492665,0.1272672876707507,0.0049195195886772,97,67,2,Physics,Correction Quality
Claude-3,Gemma-2,4186.0,0.08544351483649436,False,0.30927835051546393,0.42857142857142855,0.0,0.0,97,98,2,Physics,Error Admitted
