Model1,Model2,U_statistic,p_value,Significant,Mean1,Mean2,Median1,Median2,N1,N2,Experiment,Metric
GPT-4,Claude-3,194700.0,1.8075729172086513e-05,True,0.165,0.08333333333333333,0.0,0.0,600,600,1,Error Detected
GPT-4,Llama-3.2,197700.0,1.0395878269736278e-07,True,0.165,0.06666666666666667,0.0,0.0,600,600,1,Error Detected
GPT-4,Qwen-2.5,170700.0,0.02283085626366168,False,0.165,0.21666666666666667,0.0,0.0,600,600,1,Error Detected
GPT-4,Gemma-2,197100.0,3.2633056602822004e-07,True,0.165,0.07,0.0,0.0,600,600,1,Error Detected
Claude-3,Llama-3.2,183000.0,0.2733616221644457,False,0.08333333333333333,0.06666666666666667,0.0,0.0,600,600,1,Error Detected
Claude-3,Qwen-2.5,156000.0,1.0144187647329249e-10,True,0.08333333333333333,0.21666666666666667,0.0,0.0,600,600,1,Error Detected
Claude-3,Gemma-2,182400.0,0.38569457087483794,False,0.08333333333333333,0.07,0.0,0.0,600,600,1,Error Detected
Llama-3.2,Qwen-2.5,153000.0,9.524337301768915e-14,True,0.06666666666666667,0.21666666666666667,0.0,0.0,600,600,1,Error Detected
Llama-3.2,Gemma-2,179400.0,0.8192315872805968,False,0.06666666666666667,0.07,0.0,0.0,600,600,1,Error Detected
Qwen-2.5,Gemma-2,206400.0,4.279446229629274e-13,True,0.21666666666666667,0.07,0.0,0.0,600,600,1,Error Detected
GPT-4,Claude-3,144194.5,0.10451508367008791,False,0.3393213572854291,0.2927272727272727,0.0,0.0,501,550,2,Error Admitted
GPT-4,Llama-3.2,168591.5,8.370718845986312e-15,True,0.3393213572854291,0.1375,0.0,0.0,501,560,2,Error Admitted
GPT-4,Qwen-2.5,122114.0,0.21515311140930515,False,0.3393213572854291,0.3021276595744681,0.0,0.0,501,470,2,Error Admitted
GPT-4,Gemma-2,131012.0,0.04032035403427459,False,0.3393213572854291,0.400359066427289,0.0,0.0,501,557,2,Error Admitted
Claude-3,Llama-3.2,177905.0,3.029039233620684e-10,True,0.2927272727272727,0.1375,0.0,0.0,550,560,2,Error Admitted
Claude-3,Qwen-2.5,128035.0,0.7435222356202211,False,0.2927272727272727,0.3021276595744681,0.0,0.0,550,470,2,Error Admitted
Claude-3,Gemma-2,136688.5,0.0001699644841198415,True,0.2927272727272727,0.400359066427289,0.0,0.0,550,557,2,Error Admitted
Llama-3.2,Qwen-2.5,109935.0,1.2885321847367175e-10,True,0.1375,0.3021276595744681,0.0,0.0,560,470,2,Error Admitted
Llama-3.2,Gemma-2,114964.5,3.919036908067622e-23,True,0.1375,0.400359066427289,0.0,0.0,560,557,2,Error Admitted
Qwen-2.5,Gemma-2,118037.0,0.0010567057303914847,True,0.3021276595744681,0.400359066427289,0.0,0.0,470,557,2,Error Admitted
GPT-4,Claude-3,152050.5,0.003489124279256769,True,0.13027834777058137,0.09870245570071119,0.0770324725030398,0.0643650688799694,501,550,2,Correction Quality
