Model,Discipline,mean,std,count,Experiment,Metric
GPT-4,Mathematics,0.51,0.5024,100,1,Error Detected
GPT-4,Physics,0.13,0.338,100,1,Error Detected
GPT-4,Biology,0.12,0.3266,100,1,Error Detected
GPT-4,Chemistry,0.1,0.3015,100,1,Error Detected
GPT-4,Earth Science,0.07,0.2564,100,1,Error Detected
GPT-4,Computer Science,0.06,0.2387,100,1,Error Detected
Claude-3,Mathematics,0.31,0.4648,100,1,Error Detected
Claude-3,Physics,0.03,0.1714,100,1,Error Detected
Claude-3,Biology,0.05,0.219,100,1,Error Detected
Claude-3,Chemistry,0.05,0.219,100,1,Error Detected
Claude-3,Earth Science,0.02,0.1407,100,1,Error Detected
Claude-3,Computer Science,0.04,0.1969,100,1,Error Detected
Llama-3.2,Mathematics,0.21,0.4094,100,1,Error Detected
Llama-3.2,Physics,0.04,0.1969,100,1,Error Detected
Llama-3.2,Biology,0.05,0.219,100,1,Error Detected
Llama-3.2,Chemistry,0.02,0.1407,100,1,Error Detected
Llama-3.2,Earth Science,0.02,0.1407,100,1,Error Detected
Llama-3.2,Computer Science,0.06,0.2387,100,1,Error Detected
Qwen-2.5,Mathematics,0.37,0.4852,100,1,Error Detected
Qwen-2.5,Physics,0.33,0.4726,100,1,Error Detected
Qwen-2.5,Biology,0.16,0.3685,100,1,Error Detected
Qwen-2.5,Chemistry,0.16,0.3685,100,1,Error Detected
Qwen-2.5,Earth Science,0.14,0.3487,100,1,Error Detected
Qwen-2.5,Computer Science,0.14,0.3487,100,1,Error Detected
Gemma-2,Mathematics,0.22,0.4163,100,1,Error Detected
Gemma-2,Physics,0.02,0.1407,100,1,Error Detected
Gemma-2,Biology,0.04,0.1969,100,1,Error Detected
Gemma-2,Chemistry,0.07,0.2564,100,1,Error Detected
Gemma-2,Earth Science,0.02,0.1407,100,1,Error Detected
Gemma-2,Computer Science,0.05,0.219,100,1,Error Detected
GPT-4,Mathematics,0.6443,0.1183,100,1,Error Identification Accuracy
GPT-4,Physics,0.4199,0.1325,100,1,Error Identification Accuracy
GPT-4,Biology,0.5151,0.1148,100,1,Error Identification Accuracy
GPT-4,Chemistry,0.4678,0.1331,100,1,Error Identification Accuracy
GPT-4,Earth Science,0.5279,0.1027,100,1,Error Identification Accuracy
GPT-4,Computer Science,0.5964,0.1266,100,1,Error Identification Accuracy
Claude-3,Mathematics,0.6386,0.117,100,1,Error Identification Accuracy
Claude-3,Physics,0.4255,0.1149,100,1,Error Identification Accuracy
Claude-3,Biology,0.5224,0.1218,100,1,Error Identification Accuracy
Claude-3,Chemistry,0.4855,0.1082,100,1,Error Identification Accuracy
Claude-3,Earth Science,0.5567,0.111,100,1,Error Identification Accuracy
Claude-3,Computer Science,0.5986,0.1201,100,1,Error Identification Accuracy
Llama-3.2,Mathematics,0.6235,0.1271,100,1,Error Identification Accuracy
Llama-3.2,Physics,0.4151,0.1128,100,1,Error Identification Accuracy
Llama-3.2,Biology,0.5059,0.121,100,1,Error Identification Accuracy
Llama-3.2,Chemistry,0.4763,0.1175,100,1,Error Identification Accuracy
Llama-3.2,Earth Science,0.5379,0.1135,100,1,Error Identification Accuracy
Llama-3.2,Computer Science,0.5884,0.1207,100,1,Error Identification Accuracy
Qwen-2.5,Mathematics,0.621,0.1248,100,1,Error Identification Accuracy
Qwen-2.5,Physics,0.4271,0.1215,100,1,Error Identification Accuracy
Qwen-2.5,Biology,0.4834,0.1504,100,1,Error Identification Accuracy
Qwen-2.5,Chemistry,0.4754,0.1184,100,1,Error Identification Accuracy
Qwen-2.5,Earth Science,0.51,0.1287,100,1,Error Identification Accuracy
Qwen-2.5,Computer Science,0.5728,0.1387,100,1,Error Identification Accuracy
Gemma-2,Mathematics,0.6072,0.1375,100,1,Error Identification Accuracy
Gemma-2,Physics,0.422,0.1119,100,1,Error Identification Accuracy
Gemma-2,Biology,0.497,0.1265,100,1,Error Identification Accuracy
Gemma-2,Chemistry,0.4701,0.1212,100,1,Error Identification Accuracy
Gemma-2,Earth Science,0.5165,0.1207,100,1,Error Identification Accuracy
Gemma-2,Computer Science,0.5855,0.1274,100,1,Error Identification Accuracy
GPT-4,Mathematics,0.3673469387755102,0.4871,49,2,Error Admitted
GPT-4,Physics,0.3218390804597701,0.4699,87,2,Error Admitted
GPT-4,Biology,0.2727272727272727,0.4479,88,2,Error Admitted
GPT-4,Chemistry,0.3333333333333333,0.474,90,2,Error Admitted
GPT-4,Earth Science,0.3225806451612903,0.47,93,2,Error Admitted
GPT-4,Computer Science,0.425531914893617,0.4971,94,2,Error Admitted
Claude-3,Mathematics,0.5072463768115942,0.5036,69,2,Error Admitted
Claude-3,Physics,0.30927835051546393,0.4646,97,2,Error Admitted
Claude-3,Biology,0.2,0.4021,95,2,Error Admitted
Claude-3,Chemistry,0.35789473684210527,0.4819,95,2,Error Admitted
Claude-3,Earth Science,0.23469387755102042,0.426,98,2,Error Admitted
Claude-3,Computer Science,0.20833333333333334,0.4082,96,2,Error Admitted
Llama-3.2,Mathematics,0.13924050632911392,0.3484,79,2,Error Admitted
Llama-3.2,Physics,0.11458333333333333,0.3202,96,2,Error Admitted
Llama-3.2,Biology,0.09473684210526316,0.2944,95,2,Error Admitted
Llama-3.2,Chemistry,0.16326530612244897,0.3715,98,2,Error Admitted
Llama-3.2,Earth Science,0.19387755102040816,0.3974,98,2,Error Admitted
Llama-3.2,Computer Science,0.11702127659574468,0.3232,94,2,Error Admitted
Qwen-2.5,Mathematics,0.42857142857142855,0.4988,63,2,Error Admitted
Qwen-2.5,Physics,0.3582089552238806,0.4831,67,2,Error Admitted
Qwen-2.5,Biology,0.3333333333333333,0.4742,84,2,Error Admitted
Qwen-2.5,Chemistry,0.2261904761904762,0.4209,84,2,Error Admitted
Qwen-2.5,Earth Science,0.2558139534883721,0.4389,86,2,Error Admitted
Qwen-2.5,Computer Science,0.2558139534883721,0.4389,86,2,Error Admitted
Gemma-2,Mathematics,0.4025974025974026,0.4936,77,2,Error Admitted
Gemma-2,Physics,0.42857142857142855,0.4974,98,2,Error Admitted
Gemma-2,Biology,0.3958333333333333,0.4916,96,2,Error Admitted
Gemma-2,Chemistry,0.43010752688172044,0.4978,93,2,Error Admitted
Gemma-2,Earth Science,0.3469387755102041,0.4784,98,2,Error Admitted
Gemma-2,Computer Science,0.4,0.4925,95,2,Error Admitted
GPT-4,Mathematics,0.0525,0.096,49,2,Correction Quality
GPT-4,Physics,0.2705,0.4301,87,2,Correction Quality
GPT-4,Biology,0.1051,0.0915,88,2,Correction Quality
GPT-4,Chemistry,0.1295,0.1904,90,2,Correction Quality
GPT-4,Earth Science,0.1118,0.1013,93,2,Correction Quality
GPT-4,Computer Science,0.0837,0.0821,94,2,Correction Quality
Claude-3,Mathematics,0.0471,0.0793,69,2,Correction Quality
Claude-3,Physics,0.1724,0.1933,97,2,Correction Quality
Claude-3,Biology,0.0806,0.1012,95,2,Correction Quality
Claude-3,Chemistry,0.1127,0.1121,95,2,Correction Quality
Claude-3,Earth Science,0.1062,0.1141,98,2,Correction Quality
Claude-3,Computer Science,0.0578,0.0757,96,2,Correction Quality
Llama-3.2,Mathematics,0.033,0.0937,79,2,Correction Quality
Llama-3.2,Physics,0.0639,0.1117,96,2,Correction Quality
Llama-3.2,Biology,0.0266,0.0575,95,2,Correction Quality
Llama-3.2,Chemistry,0.0411,0.121,98,2,Correction Quality
Llama-3.2,Earth Science,0.0238,0.0478,98,2,Correction Quality
Llama-3.2,Computer Science,0.0129,0.0402,94,2,Correction Quality
Qwen-2.5,Mathematics,0.033,0.0443,63,2,Correction Quality
Qwen-2.5,Physics,0.2515,1.4465,67,2,Correction Quality
Qwen-2.5,Biology,0.1707,0.6914,84,2,Correction Quality
Qwen-2.5,Chemistry,0.0624,0.2213,84,2,Correction Quality
Qwen-2.5,Earth Science,0.1935,0.752,86,2,Correction Quality
Qwen-2.5,Computer Science,0.1624,0.8833,86,2,Correction Quality
Gemma-2,Mathematics,0.0381,0.0738,77,2,Correction Quality
Gemma-2,Physics,0.0457,0.1154,98,2,Correction Quality
Gemma-2,Biology,0.0669,0.139,96,2,Correction Quality
Gemma-2,Chemistry,0.0408,0.096,93,2,Correction Quality
Gemma-2,Earth Science,0.0464,0.0899,98,2,Correction Quality
Gemma-2,Computer Science,0.0299,0.0602,95,2,Correction Quality
GPT-4,Mathematics,0.9401,0.0416,100,3,Context Consistency
GPT-4,Physics,0.9104,0.0515,100,3,Context Consistency
GPT-4,Biology,0.9424,0.037,100,3,Context Consistency
GPT-4,Chemistry,0.9337,0.0416,100,3,Context Consistency
GPT-4,Earth Science,0.947,0.0405,100,3,Context Consistency
GPT-4,Computer Science,0.9299,0.0428,100,3,Context Consistency
Claude-3,Mathematics,0.9345,0.0394,100,3,Context Consistency
Claude-3,Physics,0.932,0.0514,100,3,Context Consistency
Claude-3,Biology,0.9325,0.0447,100,3,Context Consistency
Claude-3,Chemistry,0.9064,0.0508,100,3,Context Consistency
